Date,Population,Growth Rate
12/31/1950,37189369,
12/31/1951,37903171,1.92
12/31/1952,38624425,1.9
12/31/1953,39347719,1.87
12/31/1954,40082479,1.87
12/31/1955,40839223,1.89
12/31/1956,41616571,1.9
12/31/1957,42413359,1.91
12/31/1958,43214753,1.89
12/31/1959,44044231,1.92
12/31/1960,44928342,2.01
12/31/1961,45855507,2.06
12/31/1962,46821845,2.11
12/31/1963,47822569,2.14
12/31/1964,48856332,2.16
12/31/1965,49925799,2.19
12/31/1966,51020296,2.19
12/31/1967,52106681,2.13
12/31/1968,53210119,2.12
12/31/1969,54360750,2.16
12/31/1970,55569264,2.22
12/31/1971,56837614,2.28
12/31/1972,58173834,2.35
12/31/1973,59605446,2.46
12/31/1974,61157931,2.6
12/31/1975,62851312,2.77
12/31/1976,64658315,2.88
12/31/1977,66589655,2.99
12/31/1978,68633344,3.07
12/31/1979,70750307,3.08
12/31/1980,72951439,3.11
12/31/1981,75175387,3.05
12/31/1982,77388067,2.94
12/31/1983,79351586,2.54
12/31/1984,81337553,2.5
12/31/1985,83585251,2.76
12/31/1986,85804185,2.65
12/31/1987,88044187,2.61
12/31/1988,90351467,2.62
12/31/1989,92744064,2.65
12/31/1990,95214257,2.66
12/31/1991,97685360,2.6
12/31/1992,100182045,2.56
12/31/1993,102775465,2.59
12/31/1994,105456121,2.61
12/31/1995,108187610,2.59
12/31/1996,110956183,2.56
12/31/1997,113791181,2.56
12/31/1998,116690527,2.55
12/31/1999,119695565,2.58
12/31/2000,122851984,2.64
12/31/2001,126152678,2.69
12/31/2002,129583026,2.72
12/31/2003,133119801,2.73
12/31/2004,136756848,2.73
12/31/2005,140490722,2.73
12/31/2006,144329764,2.73
12/31/2007,148294028,2.75
12/31/2008,152382506,2.76
12/31/2009,156595758,2.76
12/31/2010,160952853,2.78
12/31/2011,165463745,2.8
12/31/2012,170075932,2.79
12/31/2013,174726123,2.73
12/31/2014,179379016,2.66
12/31/2015,183995785,2.57
12/31/2016,188666931,2.54
12/31/2017,193495907,2.56
12/31/2018,198387623,2.53
12/31/2019,203304492,2.48
12/31/2020,208327405,2.47
12/31/2021,213401323,2.44
12/31/2022,218541212,2.41
12/31/2023,223804632,2.41
12/31/2024,229152217,2.39
12/31/2025,234573603,2.37
12/31/2026,240054483,2.34
12/31/2027,245599161,2.31
12/31/2028,251201204,2.28
12/31/2029,256866062,2.26
12/31/2030,262580426,2.22
12/31/2031,268333202,2.19
12/31/2032,274119414,2.16
12/31/2033,279925063,2.12
12/31/2034,285756014,2.08
12/31/2035,291591598,2.04
12/31/2036,297416662,2
12/31/2037,303246595,1.96
12/31/2038,309097424,1.93
12/31/2039,314949915,1.89
12/31/2040,320779660,1.85
12/31/2041,326599329,1.81
12/31/2042,332393067,1.77
12/31/2043,338154157,1.73
12/31/2044,343902355,1.7
12/31/2045,349603702,1.66
12/31/2046,355245595,1.61
12/31/2047,360853520,1.58
12/31/2048,366429556,1.55
12/31/2049,371960240,1.51
12/31/2050,377459883,1.48
12/31/2051,382907203,1.44
12/31/2052,388269433,1.4
12/31/2053,393553039,1.36
12/31/2054,398765112,1.32
12/31/2055,403930803,1.3
12/31/2056,409057341,1.27
12/31/2057,414134702,1.24
12/31/2058,419146599,1.21
12/31/2059,424079002,1.18
12/31/2060,428942394,1.15
12/31/2061,433771126,1.13
12/31/2062,438585987,1.11
12/31/2063,443332357,1.08
12/31/2064,447986080,1.05
12/31/2065,452547705,1.02
12/31/2066,456994203,0.98
12/31/2067,461366335,0.96
12/31/2068,465665250,0.93
12/31/2069,469857518,0.9
12/31/2070,473939499,0.87
12/31/2071,477911999,0.84
12/31/2072,481808242,0.82
12/31/2073,485629571,0.79
12/31/2074,489350340,0.77
12/31/2075,492948645,0.74
12/31/2076,496424780,0.71
12/31/2077,499794399,0.68
12/31/2078,503044220,0.65
12/31/2079,506183389,0.62
12/31/2080,509211428,0.6
12/31/2081,512127701,0.57
12/31/2082,514937044,0.55
12/31/2083,517626997,0.52
12/31/2084,520211231,0.5
12/31/2085,522685448,0.48
12/31/2086,525017922,0.45
12/31/2087,527226385,0.42
12/31/2088,529328742,0.4
12/31/2089,531318166,0.38
12/31/2090,533192461,0.35
12/31/2091,534963916,0.33
12/31/2092,536636123,0.31
12/31/2093,538189204,0.29
12/31/2094,539633792,0.27
12/31/2095,540970120,0.25
12/31/2096,542202605,0.23
12/31/2097,543330974,0.21
12/31/2098,544348046,0.19
12/31/2099,545269101,0.17
12/31/2100,546091662,0.15
